Time,xTemp,zTemp,yTemp,X-Axis Coarse Data,X-Axis Fine Data,Y-Axis Coarse Data,Y-Axis Fine Data,Z-Axis Coarse Data,Z-Axis Fine Data
2023-08-24T12:57:08.960000Z,62,62,60,-0.2452499999999999,5.0,-0.102125,5.0,-0.6556250000000001,0.0
2023-08-24T12:57:08.960000Z,62,62,60,-0.2452499999999999,5.0,-0.102125,5.0,-0.6555,0.0
2023-08-24T12:57:08.968000Z,62,62,60,-0.2458749999999998,5.0,-0.102125,5.0,-0.6555,0.0
2023-08-24T12:57:08.976000Z,62,62,60,-0.2458749999999998,5.0,-0.1022500000000001,5.0,-0.6555,0.0
2023-08-24T12:57:08.976000Z,62,62,60,-0.2458749999999998,5.0,-0.1022500000000001,5.0,-0.6556250000000001,0.0
2023-08-24T12:57:08.984000Z,62,62,60,-0.2458749999999998,5.0,-0.1023749999999998,5.0,-0.6556250000000001,0.0
2023-08-24T12:57:08.992000Z,62,62,60,-0.2458749999999998,5.0,-0.1023749999999998,5.0,-0.6557499999999998,0.0
2023-08-24T12:57:08.992000Z,62,62,60,-0.2456249999999999,5.0,-0.1023749999999998,5.0,-0.6557499999999998,0.0
2023-08-24T12:57:09.000000Z,62,62,60,-0.2456249999999999,5.0,-0.1023749999999998,5.0,-0.6557499999999998,0.0
2023-08-24T12:57:09.000000Z,62,62,60,-0.2457500000000001,5.0,-0.1023749999999998,5.0,-0.6555,0.0
2023-08-24T12:57:09.008000Z,62,62,60,-0.2457500000000001,5.0,-0.1026250000000001,5.0,-0.6555,0.0
2023-08-24T12:57:09.016000Z,62,62,60,-0.2457500000000001,5.0,-0.1026250000000001,5.0,-0.6553749999999998,0.0
2023-08-24T12:57:09.016000Z,62,62,60,-0.2454999999999998,5.0,-0.1026250000000001,5.0,-0.6553749999999998,0.0
2023-08-24T12:57:09.024000Z,62,62,60,-0.2454999999999998,5.0,-0.1022500000000001,5.0,-0.6553749999999998,0.0
2023-08-24T12:57:09.032000Z,62,62,60,-0.2454999999999998,5.0,-0.1022500000000001,5.0,-0.6557499999999998,0.0
2023-08-24T12:57:09.032000Z,62,62,60,-0.2454999999999998,5.0,-0.1023749999999998,5.0,-0.6557499999999998,0.0
2023-08-24T12:57:09.040000Z,62,62,60,-0.2454999999999998,5.0,-0.1023749999999998,5.0,-0.6552500000000001,0.0
2023-08-24T12:57:09.040000Z,62,62,60,-0.2456249999999999,5.0,-0.1023749999999998,5.0,-0.6552500000000001,0.0
2023-08-24T12:57:09.048000Z,62,62,60,-0.2456249999999999,5.0,-0.1025,5.0,-0.6552500000000001,0.0
2023-08-24T12:57:09.056000Z,62,62,60,-0.2454999999999998,5.0,-0.1025,5.0,-0.6556250000000001,0.0
2023-08-24T12:57:09.056000Z,62,62,60,-0.2454999999999998,5.0,-0.1022500000000001,5.0,-0.6556250000000001,0.0
2023-08-24T12:57:09.064000Z,62,62,60,-0.2454999999999998,5.0,-0.1022500000000001,5.0,-0.6555,0.0
2023-08-24T12:57:09.072000Z,62,62,60,-0.2453750000000001,5.0,-0.1022500000000001,5.0,-0.6555,0.0
2023-08-24T12:57:09.072000Z,62,62,60,-0.2453750000000001,5.0,-0.1022500000000001,5.0,-0.6555,0.0
2023-08-24T12:57:09.080000Z,62,62,60,-0.2458749999999998,5.0,-0.1022500000000001,5.0,-0.6552500000000001,0.0
2023-08-24T12:57:09.080000Z,62,62,60,-0.2458749999999998,5.0,-0.1022500000000001,5.0,-0.6552500000000001,0.0
2023-08-24T12:57:09.088000Z,62,62,60,-0.2458749999999998,5.0,-0.1022500000000001,5.0,-0.6553749999999998,0.0
2023-08-24T12:57:09.096000Z,62,62,60,-0.2454999999999998,5.0,-0.1022500000000001,5.0,-0.6553749999999998,0.0
2023-08-24T12:57:09.096000Z,62,62,60,-0.2454999999999998,5.0,-0.1022500000000001,5.0,-0.6553749999999998,0.0
2023-08-24T12:57:09.104000Z,62,62,60,-0.2457500000000001,5.0,-0.1022500000000001,5.0,-0.6555,0.0
2023-08-24T12:57:09.112000Z,62,62,60,-0.2457500000000001,5.0,-0.1025,5.0,-0.6555,0.0
2023-08-24T12:57:09.112000Z,62,62,60,-0.2457500000000001,5.0,-0.1025,5.0,-0.6555,0.0
