Time,xTemp,zTemp,yTemp,X-Axis Coarse Data,X-Axis Fine Data,Y-Axis Coarse Data,Y-Axis Fine Data,Z-Axis Coarse Data,Z-Axis Fine Data
2023-08-24T10:12:08.872000Z,-4080,-4032,14,-0.2452499999999999,5.0,0.3233750000000004,1.8424145299145296,-0.7512500000000002,0.9371947496947496
2023-08-24T10:12:20.168000Z,16,-4032,14,-0.2456249999999999,5.0,0.2596249999999998,1.8448565323565325,-0.7513749999999999,0.9375
2023-08-24T10:16:00.944000Z,16,-4032,14,-0.5016250000000002,3.1245421245421245,0.2596249999999998,1.84478021978022,-0.7196250000000002,0.9613095238095238
2023-08-24T10:17:19.872000Z,16,-4032,16,-0.2452499999999999,5.0,0.2596249999999998,1.844932844932845,-0.7512500000000002,0.9437576312576312
2023-08-24T10:17:48.824000Z,16,-4032,16,-0.2451249999999998,4.99023199023199,0.2595,1.8447039072039075,-0.7512500000000002,0.943986568986569
2023-08-24T10:18:40.584000Z,16,16,16,-0.2452499999999999,3.7496947496947497,-3.837125,1.7667124542124542,-0.7512500000000002,0.6335470085470085
2023-08-24T10:19:32.888000Z,16,16,16,-0.2453750000000001,5.0,0.2593750000000003,1.8448565323565325,-0.7515000000000001,0.9460470085470084
2023-08-24T10:20:02.152000Z,16,16,16,-0.2451249999999998,5.0,0.2596249999999998,1.844932844932845,-0.7513749999999999,0.9464285714285714
2023-08-24T10:20:49.864000Z,16,16,18,-0.2448749999999999,5.00030525030525,0.2596249999999998,1.8448565323565325,-2.7913750000000004,1.1001221001221002
2023-08-24T10:22:28.664000Z,16,16,18,-2.295125,2.342643467643468,0.2595,1.6474358974358974,-2.031125,0.31753663003663
2023-08-24T10:22:32.768000Z,16,16,16,-0.2453750000000001,3.7496947496947497,0.2595,1.8453907203907205,-0.2396250000000002,0.7924297924297924
2023-08-24T10:25:38.064000Z,16,14,16,-0.2453750000000001,5.0,0.2596249999999998,1.843711843711844,-0.7512500000000002,0.9320818070818072
2023-08-24T10:25:38.072000Z,16,14,14,-0.2448749999999999,5.0,0.2596249999999998,1.8437881562881564,-0.7512500000000002,0.9331501831501832
2023-08-24T10:25:38.072000Z,14,14,14,-0.2448749999999999,5.0,0.2596249999999998,1.8439407814407816,-0.7512500000000002,0.9332264957264956
2023-08-24T10:25:38.080000Z,14,14,14,-0.2452499999999999,5.0,0.2592499999999997,1.8439407814407816,-0.7513749999999999,0.9331501831501832
2023-08-24T10:25:38.088000Z,14,14,14,-0.2452499999999999,5.0,0.2592499999999997,1.8437881562881564,-0.7513749999999999,0.9320054945054944
2023-08-24T10:25:38.088000Z,14,14,14,-0.2452499999999999,5.0,0.2597500000000003,1.8441697191697195,-0.7512500000000002,0.9330738705738706
